Contour,Mode 1 (normalized),Mode 2 (normalized),Mode 3 (normalized),Mode 4 (normalized),Mode 5 (normalized),Mode 6 (normalized),Mode 7 (normalized),Mode 8 (normalized),Mode 9 (normalized)
UID_13_34_3_all-13,0.68996,0.28939,-0.217911,-0.357226,0.243464,0.177391,0.00864094,0.126511,0.0950677
UID_13_35_1_all-7,0.63636,0.0463337,-0.120114,-0.485118,-0.0065081,-0.130602,0.363259,-0.0968069,0.0264737
UID_13_35_2_all-5,0.272069,-1.00512,0.206684,-0.378293,-0.16083,0.0086102,0.0131945,-0.264727,0.128377
UID_13_35_3_all-9,0.441955,-0.564208,0.126483,-0.400443,-0.0575567,0.00662711,0.042159,-0.235264,0.102472
UID_13_36_1_all-4,0.199473,0.0102985,-0.141192,0.0824579,-0.386569,-1.03327,0.5081,-0.274145,-1.07431
UID_13_36_2_all-9,0.554125,0.0654834,-0.0446354,-0.436886,0.0393991,0.497932,-0.501874,0.0486215,0.240919
UID_13_37_1_all-3,0.912592,0.464116,-0.113685,-0.921757,-0.101479,0.275005,-0.0234131,-0.170214,-0.0469277
UID_13_37_2_all-10,0.775846,0.651488,-0.202471,-0.621004,-0.135228,0.0396152,-0.270973,-0.272737,-0.499466
UID_13_38_1_all-15,0.809564,0.918368,-0.432284,0.196928,0.524529,0.409309,0.170859,1.03912,0.377337
UID_13_38_2_all-3,0.660157,-0.146452,0.0899366,-0.842807,-0.453387,0.335486,-0.0634872,-0.0501456,0.199283
UID_13_38_3_all-14,0.563486,0.744835,0.814487,0.327054,-1.23366,-1.43655,-0.377442,-1.25082,-0.426904
UID_13_39_1_all-13,0.225108,-0.760794,-0.0266414,-0.0611169,0.0886287,-0.141649,0.037344,-0.0709197,-0.235148
UID_13_39_2_all-19,0.547335,-0.119908,-0.101952,-0.281911,0.174578,0.403772,-0.0329111,0.00317051,0.0552641
UID_13_39_3_all-11,0.407974,-0.17882,-0.406581,0.0562679,0.626183,0.161248,0.261615,-0.324353,-0.161194
UID_13_3_1_all-2,0.671288,0.504405,-0.252907,-0.460365,0.365496,0.232226,-0.0456869,-0.0893895,0.339791
UID_13_4_1_all-6,-1.54667,2.28176,3.61253,1.78001,0.63243,-1.03121,3.67668,-0.769153,-3.5547
UID_13_4_2_all-12,-2.18155,1.27898,4.35447,0.738558,-4.22166,2.21369,1.3902,0.804217,1.38248
UID_13_4_3_all-25,0.614636,1.09732,-0.0537091,0.450916,0.633276,0.944818,0.105878,-1.22928,-0.787201
UID_13_6_1_all-17,0.489352,-0.479871,0.106145,-0.503298,-0.227911,0.19488,-0.122,-0.0699096,0.131064
UID_13_7_1_all-2,-2.88897,2.4851,0.85757,-1.92098,2.32129,-0.040083,1.08144,-0.3341,0.627375
UID_13_7_2_all,-2.86899,1.80769,0.856506,-1.50982,0.762102,-0.873692,0.018547,-0.702498,1.37936
UID_13_8_1_all-18,-2.94203,2.19027,-1.01151,-2.18953,-0.746098,-1.64789,-3.08573,-2.47706,1.86238
UID_13_8_2_all-5,0.674442,0.193552,-0.0209886,-0.452293,0.243609,0.322111,-0.119329,0.0253043,0.423264
